"","State","Year","Flight_count","Description","Latitude","Longitude","Abbreviation"
"1","Alabama",2004,45641,"Montgomery",32.377716,-86.300568,"AL"
"2","Alabama",2005,43825,"Montgomery",32.377716,-86.300568,"AL"
"3","Alabama",2006,37470,"Montgomery",32.377716,-86.300568,"AL"
"4","Alabama",2007,45255,"Montgomery",32.377716,-86.300568,"AL"
"5","Alabama",2008,46058,"Montgomery",32.377716,-86.300568,"AL"
"6","Alabama",2009,44334,"Montgomery",32.377716,-86.300568,"AL"
"7","Alabama",2010,45434,"Montgomery",32.377716,-86.300568,"AL"
"8","Alabama",2011,39301,"Montgomery",32.377716,-86.300568,"AL"
"9","Alabama",2012,36584,"Montgomery",32.377716,-86.300568,"AL"
"10","Alabama",2013,35851,"Montgomery",32.377716,-86.300568,"AL"
"11","Alabama",2014,30830,"Montgomery",32.377716,-86.300568,"AL"
"12","Alabama",2015,28885,"Montgomery",32.377716,-86.300568,"AL"
"13","Alabama",2016,25104,"Montgomery",32.377716,-86.300568,"AL"
"14","Alabama",2017,1930,"Montgomery",32.377716,-86.300568,"AL"
"15","Alaska",2004,43147,"Juneau",58.301598,-134.420212,"AK"
"16","Alaska",2005,43009,"Juneau",58.301598,-134.420212,"AK"
"17","Alaska",2006,41917,"Juneau",58.301598,-134.420212,"AK"
"18","Alaska",2007,41760,"Juneau",58.301598,-134.420212,"AK"
"19","Alaska",2008,40969,"Juneau",58.301598,-134.420212,"AK"
"20","Alaska",2009,38277,"Juneau",58.301598,-134.420212,"AK"
"21","Alaska",2010,38881,"Juneau",58.301598,-134.420212,"AK"
"22","Alaska",2011,39371,"Juneau",58.301598,-134.420212,"AK"
"23","Alaska",2012,38581,"Juneau",58.301598,-134.420212,"AK"
"24","Alaska",2013,39199,"Juneau",58.301598,-134.420212,"AK"
"25","Alaska",2014,35399,"Juneau",58.301598,-134.420212,"AK"
"26","Alaska",2015,35981,"Juneau",58.301598,-134.420212,"AK"
"27","Alaska",2016,36144,"Juneau",58.301598,-134.420212,"AK"
"28","Alaska",2017,2633,"Juneau",58.301598,-134.420212,"AK"
"29","Arizona",2004,189468,"Phoenix",33.448143,-112.096962,"AZ"
"30","Arizona",2005,195329,"Phoenix",33.448143,-112.096962,"AZ"
"31","Arizona",2006,245201,"Phoenix",33.448143,-112.096962,"AZ"
"32","Arizona",2007,244719,"Phoenix",33.448143,-112.096962,"AZ"
"33","Arizona",2008,231839,"Phoenix",33.448143,-112.096962,"AZ"
"34","Arizona",2009,210873,"Phoenix",33.448143,-112.096962,"AZ"
"35","Arizona",2010,209697,"Phoenix",33.448143,-112.096962,"AZ"
"36","Arizona",2011,216890,"Phoenix",33.448143,-112.096962,"AZ"
"37","Arizona",2012,209701,"Phoenix",33.448143,-112.096962,"AZ"
"38","Arizona",2013,201425,"Phoenix",33.448143,-112.096962,"AZ"
"39","Arizona",2014,181736,"Phoenix",33.448143,-112.096962,"AZ"
"40","Arizona",2015,180046,"Phoenix",33.448143,-112.096962,"AZ"
"41","Arizona",2016,179058,"Phoenix",33.448143,-112.096962,"AZ"
"42","Arizona",2017,14909,"Phoenix",33.448143,-112.096962,"AZ"
"43","Arkansas",2004,34809,"Little Rock",34.746613,-92.288986,"AR"
"44","Arkansas",2005,36926,"Little Rock",34.746613,-92.288986,"AR"
"45","Arkansas",2006,31377,"Little Rock",34.746613,-92.288986,"AR"
"46","Arkansas",2007,34983,"Little Rock",34.746613,-92.288986,"AR"
"47","Arkansas",2008,33667,"Little Rock",34.746613,-92.288986,"AR"
"48","Arkansas",2009,34958,"Little Rock",34.746613,-92.288986,"AR"
"49","Arkansas",2010,36542,"Little Rock",34.746613,-92.288986,"AR"
"50","Arkansas",2011,30707,"Little Rock",34.746613,-92.288986,"AR"
